well,oracle_alpha,learned_alpha,alpha_error,known_rows,target_rows,known_ratio,target_ratio,gr_missing_rate,baseline_slope_median,baseline_slope_std,baseline_confidence,gr_std,gr_volatility,gr_quality_score,typewell_rows,typewell_has_geology,typewell_quality_score,risk_score,route_suggestion,geometry_residual_mean,geometry_residual_std,geometry_residual_abs_mean,geometry_residual_abs_median,geometry_residual_abs_p95,geometry_residual_abs_max,geometry_rows
000d7d20,1.0,0.791168648590268,-0.20883135140973197,1442,3836,0.273209549071618,0.726790450928382,0.4734098018769551,0.1500000000014552,0.4215794266005409,0.1009201786102093,18.62440830660213,7.983074978817411,0.1453726235701448,1296,1.0,0.4955475558923835,1.0,typewell_alignment,-17.32044918381435,11.231893780669164,17.432773043193393,17.242094784732046,34.73358850746501,36.6305165785088,3836
00bbac68,0.75,0.7821620688030427,0.03216206880304273,1545,6014,0.2043921153591744,0.7956078846408255,0.1383438643165946,0.4099999999998545,0.4372517892278372,0.0831901058193665,17.15613428634214,8.51302168694669,0.2390977497229899,1946,1.0,0.5074414605106495,1.0,typewell_alignment,30.476234821014902,15.682057204062225,30.476234821014902,30.46443450011582,55.15714881504962,58.110261689363966,6014
00e12e8b,1.0,0.8046949904871556,-0.19530500951284435,2083,4301,0.3262844611528822,0.6737155388471178,0.0971867007672634,0.4799999999995634,0.4140148956472362,0.1629303647435654,33.31853709967687,5.456543129797727,0.2865274091369157,2556,1.0,0.650375939849624,0.9613663104482504,typewell_alignment,-43.14610048075583,25.010419206763416,43.146363908726876,43.59867434110708,81.60912910350406,86.32609160212634,4301
015fe0d2,0.5,0.7942464139452035,0.29424641394520346,1654,4296,0.2779831932773109,0.7220168067226891,0.3202979515828678,0.0899999999983265,0.3587443424856104,0.1189887067241499,19.978804630590915,7.940055092523145,0.1928101494207718,1265,1.0,0.4626050420168067,1.0,typewell_alignment,-41.30183293948563,22.814871895005115,41.30183293948563,41.36281980020002,76.85579485778356,80.8696490457466,4296
01869cd4,1.0,0.815701078401114,-0.18429892159888595,1293,5557,0.1887591240875912,0.8112408759124088,0.5112470757603024,0.1300000000001091,0.3449934896494189,0.0643873545964488,20.82481129599514,5.996063612141255,0.122225543847585,1052,1.0,0.4035766423357664,1.0,typewell_alignment,-76.22487350264625,44.96463093845772,76.24162599855056,76.04636686653235,146.41864885281913,153.9897136043515,5557
01982c1d,1.0,0.6662546396605743,-0.3337453603394257,1646,3941,0.29461249328799,0.70538750671201,0.1580817051509769,0.4200000000000727,0.4550689835889178,0.1321752628925948,21.3062867435178,3.3342489583571866,0.1682567577316121,2213,1.0,0.6460980848398067,1.0,typewell_alignment,-20.0412450491724,11.840077178117383,20.042329038127573,20.02935696069145,38.77974694080886,41.15619031925095,3941
028d7b28,1.0,0.8480113501110962,-0.15198864988890382,1527,6234,0.1967529957479706,0.8032470042520293,0.2330766762913057,0.180000000000291,0.3815514049552806,0.078318236976256,20.25906719438477,6.8006975492420345,0.2014194660347663,1774,1.0,0.4785787913928617,1.0,typewell_alignment,-117.87925155495864,68.09637883773354,117.87925155495864,117.47532635395955,225.04108571396532,237.1863156230086,6234
02e7fe5a,1.0,0.7141691968222726,-0.28583080317772736,1780,5108,0.2584204413472706,0.7415795586527294,0.6366483946750195,0.4699999999993451,0.4162832861668875,0.0838623187505432,14.277940543855204,7.313980391271205,0.085575384188079,1006,1.0,0.3960511033681765,1.0,baseline_fallback,-73.87509161786642,43.46808449822081,73.89553413899532,73.99439430550109,141.4519865202158,148.67626360195865,5108
0390d174,1.0,0.7324345402383625,-0.2675654597616375,1690,4411,0.2770037698737911,0.7229962301262088,0.4978462933575153,0.0700000000015279,0.3612642214718204,0.1056967416342573,17.778082758385267,4.564654755919348,0.101638979567813,1709,1.0,0.5301180134404195,1.0,gr_residual,-62.20733535775647,36.07051991444039,62.20763536615913,62.162985965248495,118.67555176386759,124.56263855547138,4411
03a935ae,0.0,0.7056380379480727,0.7056380379480727,1644,2786,0.3711060948081264,0.6288939051918736,0.0405599425699928,0.2600000000002183,0.452639396910325,0.1989916593649979,18.06036387871498,4.194073734260688,0.1887782253705522,1616,1.0,0.614785553047404,0.9111483262775004,typewell_alignment,27.273615274775974,15.866288565061884,27.273615274775974,26.793864122762912,52.66509362953985,55.46247832034968,2786
044af7d1,1.0,0.8292036203959599,-0.17079637960404015,1548,4519,0.2551508158892369,0.7448491841107632,0.6589953529541934,0.2099999999991268,0.3695473814507917,0.0838536255204105,22.894733795190213,11.189643915420929,0.1251094778354057,1503,1.0,0.4977336410087358,1.0,typewell_alignment,-85.04681238844667,49.276215150470435,85.04698698760069,85.1437341424502,161.59152911236367,170.5332204505977,4519
0498acab,1.0,0.7462856411141116,-0.25371435888588845,1634,4798,0.2540422885572139,0.7459577114427861,0.4745727386411004,0.3999999999996362,0.4155128384882407,0.0917507257168481,14.126490338730656,6.075145425938585,0.1102312100407353,1914,1.0,0.5475746268656716,1.0,gr_residual,-68.00221235395045,38.949192056376326,68.00221235395045,68.04381271283978,128.76583566248286,135.6887427282227,4798
