split,kind,well,path,rows,columns,missing_columns,all_empty_columns,dtype_warnings,tvt_input_missing_rate,gr_missing_rate,md_monotonic,row_index_continuous,critical_error_count,warning_count
train,horizontal,000d7d20,data\raw\train\000d7d20__horizontal_well.csv,5278,13,,,,0.726790450928382,0.4278135657446002,True,True,0,0
train,typewell,000d7d20,data\raw\train\000d7d20__typewell.csv,1296,3,,,,,0.0,,True,0,0
train,horizontal,00bbac68,data\raw\train\00bbac68__horizontal_well.csv,7559,13,,,,0.7956078846408255,0.12461965868501125,True,True,0,0
train,typewell,00bbac68,data\raw\train\00bbac68__typewell.csv,1946,3,,,,,0.0,,True,0,0
train,horizontal,00e12e8b,data\raw\train\00e12e8b__horizontal_well.csv,6384,13,,,,0.6737155388471178,0.09147869674185463,True,True,0,0
train,typewell,00e12e8b,data\raw\train\00e12e8b__typewell.csv,2556,3,,,,,0.0,,True,0,0
train,horizontal,015fe0d2,data\raw\train\015fe0d2__horizontal_well.csv,5950,13,,,,0.7220168067226891,0.2542857142857143,True,True,0,0
train,typewell,015fe0d2,data\raw\train\015fe0d2__typewell.csv,1265,3,,,,,0.0,,True,0,0
train,horizontal,01869cd4,data\raw\train\01869cd4__horizontal_well.csv,6850,13,,,,0.8112408759124088,0.4770802919708029,True,True,0,0
train,typewell,01869cd4,data\raw\train\01869cd4__typewell.csv,1052,3,,,,,0.0,,True,0,0
train,horizontal,01982c1d,data\raw\train\01982c1d__horizontal_well.csv,5587,13,,,,0.70538750671201,0.15142294612493287,True,True,0,0
train,typewell,01982c1d,data\raw\train\01982c1d__typewell.csv,2213,3,,,,,0.0,,True,0,0
train,horizontal,028d7b28,data\raw\train\028d7b28__horizontal_well.csv,7761,13,,,,0.8032470042520293,0.21788429326117767,True,True,0,0
train,typewell,028d7b28,data\raw\train\028d7b28__typewell.csv,1774,3,,,,,0.0,,True,0,0
train,horizontal,02e7fe5a,data\raw\train\02e7fe5a__horizontal_well.csv,6888,13,,,,0.7415795586527294,0.579849012775842,True,True,0,0
train,typewell,02e7fe5a,data\raw\train\02e7fe5a__typewell.csv,1006,3,,,,,0.0,,True,0,0
train,horizontal,0390d174,data\raw\train\0390d174__horizontal_well.csv,6101,13,,,,0.7229962301262088,0.47959350926077693,True,True,0,0
train,typewell,0390d174,data\raw\train\0390d174__typewell.csv,1709,3,,,,,0.0,,True,0,0
train,horizontal,03a935ae,data\raw\train\03a935ae__horizontal_well.csv,4430,13,,ANCC,,0.6288939051918736,0.039503386004514675,True,True,0,1
train,typewell,03a935ae,data\raw\train\03a935ae__typewell.csv,1616,3,,,,,0.0,,True,0,0
train,horizontal,044af7d1,data\raw\train\044af7d1__horizontal_well.csv,6067,13,,,,0.7448491841107632,0.6059007746827098,True,True,0,0
train,typewell,044af7d1,data\raw\train\044af7d1__typewell.csv,1503,3,,,,,0.0,,True,0,0
train,horizontal,0498acab,data\raw\train\0498acab__horizontal_well.csv,6432,13,,,,0.7459577114427861,0.4577114427860697,True,True,0,0
train,typewell,0498acab,data\raw\train\0498acab__typewell.csv,1914,3,,,,,0.0,,True,0,0
train,horizontal,052d64df,data\raw\train\052d64df__horizontal_well.csv,4590,13,,,,0.5326797385620915,0.25359477124183005,True,True,0,0
train,typewell,052d64df,data\raw\train\052d64df__typewell.csv,2170,3,,,,,0.0,,True,0,0
train,horizontal,05948241,data\raw\train\05948241__horizontal_well.csv,5428,13,,,,0.7146278555637435,0.5477155490051584,True,True,0,0
train,typewell,05948241,data\raw\train\05948241__typewell.csv,1900,3,,,,,0.0,,True,0,0
train,horizontal,059c8f24,data\raw\train\059c8f24__horizontal_well.csv,7998,13,,,,0.7824456114028507,0.40772693173293323,True,True,0,0
train,typewell,059c8f24,data\raw\train\059c8f24__typewell.csv,1634,3,,,,,0.0,,True,0,0
train,horizontal,05a0ee4d,data\raw\train\05a0ee4d__horizontal_well.csv,6098,13,,,,0.7130206625122991,0.32076090521482453,True,True,0,0
train,typewell,05a0ee4d,data\raw\train\05a0ee4d__typewell.csv,1843,3,,,,,0.0,,True,0,0
train,horizontal,060ab2b8,data\raw\train\060ab2b8__horizontal_well.csv,7818,13,,,,0.8004604758250192,0.5674085443847532,True,True,0,0
train,typewell,060ab2b8,data\raw\train\060ab2b8__typewell.csv,1082,3,,,,,0.0,,True,0,0
train,horizontal,06df5958,data\raw\train\06df5958__horizontal_well.csv,5039,13,,,,0.6963683270490176,0.15677713832109547,True,True,0,0
train,typewell,06df5958,data\raw\train\06df5958__typewell.csv,1234,3,,,,,0.0,,True,0,0
train,horizontal,071d7b45,data\raw\train\071d7b45__horizontal_well.csv,4720,13,,,,0.6802966101694915,0.15550847457627118,True,True,0,0
train,typewell,071d7b45,data\raw\train\071d7b45__typewell.csv,1088,3,,,,,0.0,,True,0,0
train,horizontal,0849b4e2,data\raw\train\0849b4e2__horizontal_well.csv,7436,13,,,,0.7446207638515331,0.2280796126949973,True,True,0,0
train,typewell,0849b4e2,data\raw\train\0849b4e2__typewell.csv,2288,3,,,,,0.0,,True,0,0
train,horizontal,084d66f9,data\raw\train\084d66f9__horizontal_well.csv,5632,13,,,,0.6898082386363636,0.6003196022727273,True,True,0,0
train,typewell,084d66f9,data\raw\train\084d66f9__typewell.csv,2060,3,,,,,0.0,,True,0,0
train,horizontal,08fecf00,data\raw\train\08fecf00__horizontal_well.csv,7405,13,,,,0.7527346387575962,0.24307900067521945,True,True,0,0
train,typewell,08fecf00,data\raw\train\08fecf00__typewell.csv,4437,3,,,,,0.0,,True,0,0
train,horizontal,09053135,data\raw\train\09053135__horizontal_well.csv,7715,13,,,,0.765651328580687,0.37174335709656514,True,True,0,0
train,typewell,09053135,data\raw\train\09053135__typewell.csv,1856,3,,,,,0.0,,True,0,0
train,horizontal,09441b8d,data\raw\train\09441b8d__horizontal_well.csv,7395,13,,,,0.7421230561189993,0.13252197430696416,True,True,0,0
train,typewell,09441b8d,data\raw\train\09441b8d__typewell.csv,2055,3,,,,,0.0,,True,0,0
train,horizontal,0955cd6c,data\raw\train\0955cd6c__horizontal_well.csv,7125,13,,,,0.7291228070175438,0.5807719298245614,True,True,0,0
train,typewell,0955cd6c,data\raw\train\0955cd6c__typewell.csv,3602,3,,,,,0.0,,True,0,0
train,horizontal,09ec2ca9,data\raw\train\09ec2ca9__horizontal_well.csv,7824,13,,,,0.7521728016359919,0.513420245398773,True,True,0,0
train,typewell,09ec2ca9,data\raw\train\09ec2ca9__typewell.csv,1784,3,,,,,0.0,,True,0,0
train,horizontal,0a57a29c,data\raw\train\0a57a29c__horizontal_well.csv,7194,13,,,,0.8091465109813734,0.4961078676675007,True,True,0,0
train,typewell,0a57a29c,data\raw\train\0a57a29c__typewell.csv,1395,3,,,,,0.0,,True,0,0
train,horizontal,0bbf5e67,data\raw\train\0bbf5e67__horizontal_well.csv,6031,13,,,,0.7126513016083568,0.5000829049908805,True,True,0,0
train,typewell,0bbf5e67,data\raw\train\0bbf5e67__typewell.csv,1609,3,,,,,0.0,,True,0,0
train,horizontal,0be01c24,data\raw\train\0be01c24__horizontal_well.csv,6385,13,,,,0.742051683633516,0.03837118245888802,True,True,0,0
train,typewell,0be01c24,data\raw\train\0be01c24__typewell.csv,2003,3,,,,,0.0,,True,0,0
train,horizontal,0c1b160c,data\raw\train\0c1b160c__horizontal_well.csv,6714,13,,,,0.752755436401549,0.5126601131963062,True,True,0,0
train,typewell,0c1b160c,data\raw\train\0c1b160c__typewell.csv,1464,3,,,,,0.0,,True,0,0
train,horizontal,0d99f8e4,data\raw\train\0d99f8e4__horizontal_well.csv,7522,13,,,,0.7741292209518745,0.5058495081095453,True,True,0,0
train,typewell,0d99f8e4,data\raw\train\0d99f8e4__typewell.csv,1459,3,,,,,0.0,,True,0,0
