data_hash,split_id,well,mask_type,target_rows,baseline_rmse,geometry_rmse,rmse_improvement,baseline_mae,geometry_mae,baseline_p95_abs_error,geometry_p95_abs_error,baseline_bias,geometry_bias,selected_alpha,improved
unknown,original_hidden__000d7d20__1442_5277,000d7d20,original_hidden,3836,0.4859995893850541,0.476279597597353,0.00971999178770111,0.36449969203879057,0.35720969819801474,0.7775993430160866,0.7620473561557648,0.0,0.0,1.0,True
unknown,original_hidden__00bbac68__1545_7558,00bbac68,original_hidden,6014,0.260215869569332,0.25501155217794536,0.005204317391386659,0.19516190217699902,0.19125866413345902,0.41634539131093123,0.4080184834847126,0.0,0.0,1.0,True
unknown,original_hidden__00e12e8b__2083_6383,00e12e8b,original_hidden,4301,0.12682458187835,0.124288090240783,0.002536491637567001,0.0951184364087625,0.09321606768058724,0.20291933100536,0.1988609443852528,0.0,0.0,1.0,True
unknown,original_hidden__015fe0d2__1654_5949,015fe0d2,original_hidden,4296,0.3400622717925912,0.3332610263567394,0.00680124543585181,0.2550467038444434,0.24994576976755453,0.5440996348681459,0.533217642170783,0.0,0.0,1.0,True
unknown,original_hidden__01869cd4__1293_6849,01869cd4,original_hidden,5557,0.5399619225552003,0.5291626841040963,0.010799238451103976,0.4049714419164002,0.3968720130780722,0.8639390760883204,0.8466602945665541,0.0,0.0,1.0,True
unknown,original_hidden__01982c1d__1646_5586,01982c1d,original_hidden,3941,0.1800827123919302,0.17648105814409157,0.0036016542478386204,0.13506203429394764,0.13236079360806868,0.2881323398270883,0.28236969303054654,0.0,0.0,1.0,True
unknown,original_hidden__028d7b28__1527_7760,028d7b28,original_hidden,6234,0.25417854999138334,0.24909497899155567,0.005083570999827675,0.1906339124935375,0.18682123424366676,0.40668567998621336,0.3985519663864891,0.0,0.0,1.0,True
unknown,original_hidden__02e7fe5a__1780_6887,02e7fe5a,original_hidden,5108,0.656201001903194,0.6430769818651301,0.0131240200380639,0.4921507514273955,0.48230773639884755,1.0499216030451104,1.0289231709842082,0.0,0.0,1.0,True
unknown,original_hidden__0390d174__1690_6100,0390d174,original_hidden,4411,0.5254344963866264,0.5149258064588939,0.010508689927732573,0.3940758722899698,0.3861943548441704,0.8406951942186023,0.8238812903342302,0.0,0.0,1.0,True
unknown,original_hidden__03a935ae__1644_4429,03a935ae,original_hidden,2786,0.0653980278106592,0.06409006725444602,0.0013079605562131835,0.0490485208579944,0.048067550440834515,0.10463684449705474,0.10254410760711363,0.0,0.0,1.0,True
unknown,original_hidden__044af7d1__1548_6066,044af7d1,original_hidden,4519,0.6866746459776137,0.6729411530580615,0.013733492919552281,0.5150059844832103,0.5047058647935461,1.098679433564182,1.0767058448928983,0.0,0.0,1.0,True
unknown,original_hidden__0498acab__1634_6431,0498acab,original_hidden,4798,0.4983397318044132,0.4883729371683249,0.009966794636088294,0.3737547988533099,0.3662797028762437,0.7973435708870612,0.7813966994693199,0.0,0.0,1.0,True
unknown,original_hidden__052d64df__2145_4589,052d64df,original_hidden,2445,0.2986284824425556,0.29265591279370445,0.005972569648851123,0.22397136183191668,0.21949193459527833,0.4778055719080889,0.46824946046992716,0.0,0.0,1.0,True
unknown,original_hidden__05948241__1549_5427,05948241,original_hidden,3879,0.6232867328511005,0.6108209981940784,0.012465734657022054,0.46746504963832536,0.4581157486455588,0.9972587725617608,0.9773135971105256,0.0,0.0,1.0,True
unknown,original_hidden__059c8f24__1740_7997,059c8f24,original_hidden,6258,0.539626103859119,0.5288335817819366,0.010792522077182398,0.40471957789433927,0.3966251863364525,0.8634017661745905,0.8461337308510987,0.0,0.0,1.0,True
unknown,original_hidden__05a0ee4d__1750_6097,05a0ee4d,original_hidden,4348,0.3906693275928198,0.3828559410409634,0.007813386551856427,0.2930019956946148,0.28714195578072255,0.6250709241485117,0.6125695056655415,0.0,0.0,1.0,True
unknown,original_hidden__060ab2b8__1560_7817,060ab2b8,original_hidden,6258,0.5952086987278136,0.5833045247532573,0.011904173974556231,0.4464065240458602,0.437478393564943,0.9523339179645017,0.9332872396052118,0.0,0.0,1.0,True
unknown,original_hidden__06df5958__1530_5038,06df5958,original_hidden,3509,0.2222046105028296,0.21776051829277301,0.004444092210056594,0.1666534578771222,0.16332038871957977,0.3555273768045274,0.34841682926843687,0.0,0.0,1.0,True
unknown,original_hidden__071d7b45__1509_4719,071d7b45,original_hidden,3211,0.17651109497749579,0.17298087307794588,0.003530221899549907,0.13238332123312185,0.12973565480845942,0.28241775196399327,0.2767693969247134,0.0,0.0,1.0,True
unknown,original_hidden__0849b4e2__1899_7435,0849b4e2,original_hidden,5537,0.2943532220214349,0.2884661575810062,0.005887064440428691,0.22076491651607616,0.21634961818575466,0.47096515523429583,0.4615458521296099,0.0,0.0,1.0,True
unknown,original_hidden__084d66f9__1747_5631,084d66f9,original_hidden,3885,0.8082114402652614,0.7920472114599562,0.016164228805305214,0.606158580198946,0.5940354085949671,1.2931383044244182,1.26727553833593,0.0,0.0,1.0,True
unknown,original_hidden__08fecf00__1831_7404,08fecf00,original_hidden,5574,0.2963355414403922,0.29040883061158435,0.005926710828807857,0.22225165608029415,0.21780662295868825,0.47413686630462754,0.464654128978535,0.0,0.0,1.0,True
unknown,original_hidden__09053135__1808_7714,09053135,original_hidden,5907,0.4417960718458831,0.4329601504089654,0.008835921436917693,0.3313470538844123,0.3247201128067241,0.706873714953413,0.6927362406543447,0.0,0.0,1.0,True
unknown,original_hidden__09441b8d__1907_7394,09441b8d,original_hidden,5488,0.1537824772789593,0.15070682773338012,0.003075649545579179,0.11533685795921947,0.11303012080003509,0.2460519636463349,0.24113092437340822,0.0,0.0,1.0,True
unknown,original_hidden__0955cd6c__1930_7124,0955cd6c,original_hidden,5195,0.7015227500790272,0.6874922950774467,0.01403045500158051,0.5261420625592704,0.515619221308085,1.1224364001264435,1.0999876721239148,0.0,0.0,1.0,True
