feature,importance
baseline_pred_delta_from_last_known,0.9290114504378161
Z_centered,0.013858813212508198
well_gr_missing_rate,0.0071225281335152634
distance_from_last_known_row,0.005706917845023454
baseline_slope_median,0.00509418891399436
baseline_confidence,0.0050305073369206026
target_ratio,0.003991070053348084
known_ratio,0.003991070053347883
target_rows,0.00316578794594451
well_target_rows,0.00316578794594451
row_position,0.002908908816133417
MD_norm,0.002908908816133417
path_length_norm,0.0029085404036588254
baseline_slope_std,0.0021717975401703863
gr_missing_rate,0.0014085459318355445
speed_roll_std_25,0.0011582147520242342
known_rows,0.0011235892443971164
last_known_row,0.0011235892443971164
trajectory_speed_proxy,0.0010442739174228524
speed_roll_mean_25,0.0008181437682566524
baseline_tvt,0.000670444160611266
curvature_roll_mean_25,0.0005213159970481067
curvature_roll_std_25,0.0004746277986325388
trajectory_curvature_proxy,0.0004201427267423188
dZ_dMD,0.00020083500417317527
